Participant,Total duration of fixation in AOI-DA,Share of Total Time (%)- DA,Total duration of fixation in AOI- Original,Share of Total Time (%)- Original,Average duration of fixation in AOI- DA,Average duration of fixation in AOI-Original,Number of fixations in AOI- DA,Number of fixations in AOI-Original,Time to first fixation in AOI-DA,Time to first fixation in AOI-Original,Duration of first fixation in AOI-DA,Duration of first fixation in AOI-Original,Total duration of Visit-DA,Total duration of Visit-Original,Average duration of Visit-DA,Average duration of Visit-Original,Number of Visits-DA,Number of Visits-Original,Label
21,2.438605,0.377273788,14.311901,2.214177819,0.812868,2.385317,3,6,80.40437,78.52542,0.659632,0.099962,2.438605,14.371864,0.812868,4.790621,3,3,4
21,0.879514,0.136068604,11.133682,1.722479196,0.293171,0.742245,3,15,112.685997,99.593449,0.439757,0.319826,0.919493,11.333562,0.459746,2.266712,2,5,5
21,1.359231,0.210285072,21.467848,3.321266187,0.226538,1.34174,6,16,125.378791,119.841933,0.099932,0.139928,1.419198,21.907556,0.3548,5.476889,4,4,1
21,0.439741,0.068031827,16.570591,2.563617163,0.439741,0.5714,1,29,154.80204,148.605566,0.439741,0.679615,0.439741,16.850424,0.439741,0.842521,1,20,1
21,0.779552,0.120603597,8.01542,1.240056452,0.259851,0.801542,3,10,180.307495,179.547917,0.139915,0.219876,0.799549,8.195346,0.399774,2.048836,2,4,4
21,3.378084,0.522619508,12.393002,1.917307152,0.337808,0.652263,10,19,195.738688,192.380592,0.099947,0.519718,3.458044,12.592854,0.576341,0.968681,6,13,4
21,2.258742,0.349447389,6.596232,1.020495501,0.451748,1.319246,5,5,226.701021,226.301248,0.519703,0.099947,2.258742,6.596232,0.451748,1.319246,5,5,4
21,2.278662,0.352529189,11.253548,1.741023528,0.284833,0.562677,8,20,244.450888,243.971166,0.159898,0.199863,2.318627,11.453479,0.331232,0.954457,7,12,1
21,0.519702,0.080402501,4.77725,0.739082878,0.259851,0.477725,2,10,263.619923,263.180183,0.37979,0.159911,0.519702,4.857212,0.259851,0.809535,2,6,1
21,3.817788,0.590645611,7.515613,1.162731883,0.424199,0.53683,9,14,281.469723,280.790106,0.599652,0.099947,3.857756,7.655557,0.551108,0.850617,7,9,4
21,2.618511,0.405106839,15.631088,2.41826773,0.238046,0.822689,11,19,302.277815,302.097936,0.119932,0.139914,2.698475,15.950849,0.385496,1.329237,7,12,4
21,1.838913,0.284496125,10.55396,1.632791069,0.183891,0.703597,10,15,330.881447,331.081341,0.139928,0.199895,1.878908,10.893749,0.208768,2.17875,9,5,4
21,1.918895,0.296870049,5.676739,0.878241792,0.274128,0.630749,7,9,349.650693,352.009363,0.239873,0.399758,1.93888,5.776673,0.323147,1.155335,6,5,1
21,1.079378,0.166989335,5.197041,0.804028263,0.215876,0.64963,5,8,363.043021,362.843143,0.199894,0.13993,1.159325,5.276988,0.579662,1.055398,2,5,1
21,1.699025,0.262854213,13.692142,2.118295614,0.242718,0.855759,7,16,375.335995,375.655805,0.279829,0.159913,1.758993,14.131899,0.351799,3.532975,5,4,1
21,,0,5.556829,0.859690653,,0.427448,,13,,404.119477,,0.679615,,5.656778,,0.628531,,9,4
21,1.479152,0.228837913,6.056532,0.936999132,0.29583,1.009422,5,6,417.671723,417.271929,0.819508,0.339793,1.559105,6.196444,0.779552,1.549111,2,4,4
